客戶代號,客戶簡稱,日  期,發票號碼,幣別,匯率,應收帳款,本幣未收帳款,備註,項目
16839714,台亞石油,2021/10/28,SY80529651,NT$,1,342,0,202107 處理費-行銷費用 台亞,202107 處理費-行銷費用
16839714,台亞石油,2021/10/28,SY80529652,NT$,1,7,0,202107 處理費-行銷獎勵回饋 台亞,202107 處理費-行銷獎勵
16839714,台亞石油,2021/10/28,SY80529653,NT$,1,1,0,202108 處理費-行銷獎勵回饋 台亞,202108 處理費-行銷獎勵
16839714,台亞石油,2021/10/28,SY80529654,NT$,1,1478389,0,202109 處理費-行銷費用 台亞,202109 處理費-行銷費用
16839714,台亞石油,2021/10/28,SY80529655,NT$,1,51546,0,202109 處理費-行銷獎勵回饋 台亞,202109 處理費-行銷獎勵
16839714,台亞石油,2021/12/24,HZ71514526,NT$,1,3512999,0,202110 處理費-行銷費用 台亞,202110 處理費-行銷費用
16839714,台亞石油,2021/12/24,HZ71514527,NT$,1,119243,0,202110 處理費-行銷獎勵回饋 台亞,202110 處理費-行銷獎勵
16839714,台亞石油,2022/1/17,WY24058423,NT$,1,3855553,0,202111 處理費-行銷費用 台亞,202111 處理費-行銷費用
16839714,台亞石油,2022/1/17,WY24058424,NT$,1,179303,0,202111 處理費-行銷獎勵回饋 台亞,202111 處理費-行銷獎勵
16839714,台亞石油,2022/3/8,ZA90344849,NT$,1,3899009,0,202112 處理費-行銷費用 台亞,202112 處理費-行銷費用
16839714,台亞石油,2022/3/8,ZA90344850,NT$,1,196883,0,202112 處理費-行銷獎勵回饋 台亞,202112 處理費-行銷獎勵
16839714,台亞石油,2022/4/1,ZA90345402,NT$,1,5445329,0,202201 處理費-行銷費用 台亞,202201 處理費-行銷費用
16839714,台亞石油,2022/4/1,ZA90345403,NT$,1,178970,0,202201 處理費-行銷獎勵回饋 台亞,202201 處理費-行銷獎勵
16839714,台亞石油,2022/4/11,ZA90346260,NT$,1,5793415,5793415,202202 處理費-行銷費用 台亞,202202 處理費-行銷費用
16839714,台亞石油,2022/4/11,ZA90346261,NT$,1,212494,212494,202202 處理費-行銷獎勵回饋 台亞,202202 處理費-行銷獎勵
16839714,台亞石油,2022/4/18,ZA90343790,NT$,1,6109658,6109658,202203 處理費-行銷費用 台亞,202203 處理費-行銷費用
16839714,台亞石油,2022/4/18,ZA90343791,NT$,1,234302,234302,202203 處理費-行銷獎勵回饋 台亞,202203 處理費-行銷獎勵
84708084,統合開發,2021/12/21,HZ71514524,NT$,1,23940,0,202111 處理費-行銷費用 統一渡假村,202111 處理費-行銷費用
84708084,統合開發,2022/1/11,WY24058422,NT$,1,11088,0,202112 處理費-行銷費用 統一渡假村,202112 處理費-行銷費用
84708084,統合開發,2022/3/25,ZA90345135,NT$,1,3024,0,202201 處理費-行銷費用 統一渡假村,202201 處理費-行銷費用
84708084,統合開發,2022/3/25,ZA90345136,NT$,1,2520,0,202202 處理費-行銷費用 統一渡假村,202202 處理費-行銷費用
8776407,金馬快官交流道站,2022/3/22,ZA90344885,NT$,1,2104,0,202111 處理費-行銷費用 台塑-金馬快官交流道站,202111 處理費-行銷費用
8776407,金馬快官交流道站,2022/3/22,ZA90344886,NT$,1,36,0,202111 處理費-行銷獎勵回饋 台塑-金馬快官交流道站,202111 處理費-行銷獎勵
8776407,金馬快官交流道站,2022/3/25,ZA90345142,NT$,1,1815,0,202112 處理費-行銷費用 台塑-金馬快官交流道站,202112 處理費-行銷費用
8776407,金馬快官交流道站,2022/3/25,ZA90345143,NT$,1,40,0,202112 處理費-行銷獎勵回饋 台塑-金馬快官交流道站,202112 處理費-行銷獎勵
8776407,金馬快官交流道站,2022/4/8,ZA90346002,NT$,1,1145,1145,202201 處理費-行銷費用 台塑-金馬快官交流道站,202201 處理費-行銷費用
8776407,金馬快官交流道站,2022/4/8,ZA90346003,NT$,1,26,26,202201 處理費-行銷獎勵回饋 台塑-金馬快官交流道站,202201 處理費-行銷獎勵
8776407,金馬快官交流道站,2022/4/13,ZA90346274,NT$,1,4600,4600,202202 處理費-行銷費用 台塑-金馬快官交流道站,202202 處理費-行銷費用
8776407,金馬快官交流道站,2022/4/13,ZA90346275,NT$,1,81,81,202202 處理費-行銷獎勵回饋 台塑-金馬快官交流道站,202202 處理費-行銷獎勵
10120519,久井旗山吉站,2021/10/29,SY80529678,NT$,1,160,0,202109 處理費-行銷費用 台塑-久井旗山吉站,202109 處理費-行銷費用
10120519,久井旗山吉站,2022/1/10,WY24058172,NT$,1,1497,1497,202110 處理費-行銷費用 台塑-久井旗山吉站,202110 處理費-行銷費用
10120519,久井旗山吉站,2022/3/22,ZA90344887,NT$,1,1194,1194,202111 處理費-行銷費用 台塑-久井旗山吉站,202111 處理費-行銷費用
10120519,久井旗山吉站,2022/3/22,ZA90344888,NT$,1,4,4,202111 處理費-行銷獎勵回饋 台塑-久井旗山吉站,202111 處理費-行銷獎勵
10120519,久井旗山吉站,2022/3/25,ZA90345144,NT$,1,1066,1066,202112 處理費-行銷費用 台塑-久井旗山吉站,202112 處理費-行銷費用
10120519,久井旗山吉站,2022/4/8,ZA90346004,NT$,1,1892,1892,202201 處理費-行銷費用 台塑-久井旗山吉站,202201 處理費-行銷費用
10120519,久井旗山吉站,2022/4/13,ZA90346276,NT$,1,1513,1513,202202 處理費-行銷費用 台塑-久井旗山吉站,202202 處理費-行銷費用
10120519,久井旗山吉站,2022/4/13,ZA90346277,NT$,1,8,8,202202 處理費-行銷獎勵回饋 台塑-久井旗山吉站,202202 處理費-行銷獎勵
10151499,久井旗山如站,2021/10/29,SY80529679,NT$,1,2278,0,202109 處理費-行銷費用 台塑-久井旗山如站,202109 處理費-行銷費用
10151499,久井旗山如站,2021/10/29,SY80529680,NT$,1,8,0,202109 處理費-行銷獎勵回饋 台塑-久井旗山如站,202109 處理費-行銷獎勵
10151499,久井旗山如站,2022/1/10,WY24058173,NT$,1,2921,2921,202110 處理費-行銷費用 台塑-久井旗山如站,202110 處理費-行銷費用
10151499,久井旗山如站,2022/1/10,WY24058174,NT$,1,2,2,202110 處理費-行銷獎勵回饋 台塑-久井旗山如站,202110 處理費-行銷獎勵
10151499,久井旗山如站,2022/3/22,ZA90344889,NT$,1,4793,4793,202111 處理費-行銷費用 台塑-久井旗山如站,202111 處理費-行銷費用
10151499,久井旗山如站,2022/3/22,ZA90344890,NT$,1,46,46,202111 處理費-行銷獎勵回饋 台塑-久井旗山如站,202111 處理費-行銷獎勵
10151499,久井旗山如站,2022/3/25,ZA90345145,NT$,1,3920,3920,202112 處理費-行銷費用 台塑-久井旗山如站,202112 處理費-行銷費用
10151499,久井旗山如站,2022/3/25,ZA90345146,NT$,1,12,12,202112 處理費-行銷獎勵回饋 台塑-久井旗山如站,202112 處理費-行銷獎勵
10151499,久井旗山如站,2022/4/8,ZA90346005,NT$,1,5634,5634,202201 處理費-行銷費用 台塑-久井旗山如站,202201 處理費-行銷費用
10151499,久井旗山如站,2022/4/8,ZA90346006,NT$,1,57,57,202201 處理費-行銷獎勵回饋 台塑-久井旗山如站,202201 處理費-行銷獎勵
10151499,久井旗山如站,2022/4/13,ZA90346278,NT$,1,5380,5380,202202 處理費-行銷費用 台塑-久井旗山如站,202202 處理費-行銷費用
10151499,久井旗山如站,2022/4/13,ZA90346279,NT$,1,4,4,202202 處理費-行銷獎勵回饋 台塑-久井旗山如站,202202 處理費-行銷獎勵
10151505,久井旗山意站,2021/10/29,SY80529681,NT$,1,1184,0,202109 處理費-行銷費用 台塑-久井旗山意站,202109 處理費-行銷費用
